Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
Australian government capital expenditure,373801,401258,2015,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,494843,535540,2015,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,9700,30247,2015,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,878344,967045,2015,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,14313,30848,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
State / territory government capital expenditure,56505,114001,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
New school loans,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Income allocated to current capital projects,0,0,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Other,20671,20671,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Total capital expenditure,91489,165520,2021,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Australian government capital expenditure,8168,40585,2021,44513,"Middle Park Primary School, Middle Park, VIC",
State / territory government capital expenditure,32246,149354,2021,44513,"Middle Park Primary School, Middle Park, VIC",
New school loans,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC",
Income allocated to current capital projects,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC",
Other,9942,9942,2021,44513,"Middle Park Primary School, Middle Park, VIC",
Total capital expenditure,50356,199881,2021,44513,"Middle Park Primary School, Middle Park, VIC",
Australian government capital expenditure,0,0,2019,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,10499,74268,2019,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2019,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,0,2019,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2019,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,10499,74268,2019,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,87739,289531,2020,40427,"Williamstown High School, Williamstown, VIC",
State / territory government capital expenditure,358362,776836,2020,40427,"Williamstown High School, Williamstown, VIC",
New school loans,0,0,2020,40427,"Williamstown High School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2020,40427,"Williamstown High School, Williamstown, VIC",
Other,146213,293908,2020,40427,"Williamstown High School, Williamstown, VIC",
Total capital expenditure,592314,1360275,2020,40427,"Williamstown High School, Williamstown, VIC",
Australian government capital expenditure,131225,1060255,2015,45360,"Braybrook College, Braybrook, VIC",
State / territory government capital expenditure,33723,112567,2015,45360,"Braybrook College, Braybrook, VIC",
New school loans,0,0,2015,45360,"Braybrook College, Braybrook, VIC",
Income allocated to current capital projects,0,0,2015,45360,"Braybrook College, Braybrook, VIC",
Other,0,157306,2015,45360,"Braybrook College, Braybrook, VIC",
Total capital expenditure,164948,1330128,2015,45360,"Braybrook College, Braybrook, VIC",
Australian government capital expenditure,24792,1453023,2019,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,77543,4577357,2019,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2019,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2019,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,0,5280,2019,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,102335,6035660,2019,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,29278,1031346,2020,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,119583,3009306,2020,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2020,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2020,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,38521,66942,2020,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,187382,4107594,2020,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,607847,1956105,2014,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,39463,246238,2014,45442,"Northcote High School, Northcote, VIC",
New school loans,0,0,2014,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2014,45442,"Northcote High School, Northcote, VIC",
Other,43376,86034,2014,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,690686,2288377,2014,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,176197,411479,2016,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,417533,677048,2016,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2016,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2016,44671,"Altona Primary School, Altona, VIC",
Other,8205,63685,2016,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,601935,1152212,2016,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,9626,44210,2020,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,39314,145591,2020,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2020,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2020,44225,"Williamstown Primary School, Williamstown, VIC",
Other,19750,78010,2020,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,68690,267811,2020,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,199881,473477,2021,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,789097,1675429,2021,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2021,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2021,50267,"Albert Park College, Albert Park, VIC",
Other,187850,487780,2021,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,1176828,2636686,2021,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,799856,1015401,2021,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,3157694,3995645,2021,45587,"Altona College, Altona, VIC",
New school loans,0,0,2021,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2021,45587,"Altona College, Altona, VIC",
Other,48914,163423,2021,45587,"Altona College, Altona, VIC",
Total capital expenditure,4006464,5174469,2021,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,216578,286190,2021,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,855013,1121742,2021,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2021,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2021,44062,"Footscray Primary School, Footscray, VIC",
Other,8137,22501,2021,44062,"Footscray Primary School, Footscray, VIC",
Total capital expenditure,1079728,1430433,2021,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,21909,59345,2014,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,18276,107878,2014,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,21558,58785,2014,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,61743,226008,2014,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,37366,43720,2016,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,88546,94490,2016,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2016,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2016,44948,"Carlton Primary School, Carlton, VIC",
Other,0,0,2016,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,125912,138210,2016,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,260214,682285,2016,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,616628,1156699,2016,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2016,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2016,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,0,8360,2016,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,876842,1847344,2016,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,34839,0,2023,44531,"Port Melbourne Primary School, Port Melbourne, VIC","1,570,070"
State / territory government capital expenditure,152138,0,2023,44531,"Port Melbourne Primary School, Port Melbourne, VIC","6,166,178"
New school loans,0,0,2023,44531,"Port Melbourne Primary School, Port Melbourne, VIC",0
Income allocated to current capital projects,0,0,2023,44531,"Port Melbourne Primary School, Port Melbourne, VIC",0
Other,96190,0,2023,44531,"Port Melbourne Primary School, Port Melbourne, VIC","114,814"
Total capital expenditure,283167,0,2023,44531,"Port Melbourne Primary School, Port Melbourne, VIC","7,851,062"
Australian government capital expenditure,202557,227221,2017,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,1263876,1315642,2017,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2017,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2017,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,11016,57010,2017,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,1477449,1599873,2017,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,4180,405438,2016,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,9906,523792,2016,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2016,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2016,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,47636,57336,2016,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,61722,986566,2016,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,3204,42556,2016,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,7594,43484,2016,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2016,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2016,44225,"Williamstown Primary School, Williamstown, VIC",
Other,0,0,2016,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,10798,86040,2016,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,16068,42077,2022,52587,"South Melbourne Primary School, Southbank, VIC",
State / territory government capital expenditure,61674,167905,2022,52587,"South Melbourne Primary School, Southbank, VIC",
New school loans,0,0,2022,52587,"South Melbourne Primary School, Southbank, VIC",
Income allocated to current capital projects,0,0,2022,52587,"South Melbourne Primary School, Southbank, VIC",
Other,0,0,2022,52587,"South Melbourne Primary School, Southbank, VIC",
Total capital expenditure,77742,209982,2022,52587,"South Melbourne Primary School, Southbank, VIC",
Australian government capital expenditure,13589,360355,2020,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,55503,1101652,2020,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2020,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2020,44671,"Altona Primary School, Altona, VIC",
Other,39583,67768,2020,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,108675,1529775,2020,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,647907,740629,2022,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,2486932,2857944,2022,45442,"Northcote High School, Northcote, VIC",
New school loans,0,0,2022,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2022,45442,"Northcote High School, Northcote, VIC",
Other,109915,399538,2022,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,3244754,3998111,2022,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,481960,1417940,2016,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,1002404,1631606,2016,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2016,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2016,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,0,33928,2016,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,1484364,3083474,2016,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,0,3031,2015,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,20291,82462,2015,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2015,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,0,2015,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2015,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,20291,85493,2015,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,24098,271664,2020,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,98427,869973,2020,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2020,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2020,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,15631,44847,2020,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,138156,1186484,2020,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,554859,708479,2021,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,2190487,2817934,2021,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,0,142740,2021,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,2745346,3669153,2021,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,96427,674768,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,127652,785597,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,37613,103040,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,261692,1563405,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,14801,88242,2020,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,60452,287166,2020,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2020,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2020,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,7913,22286,2020,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,83166,397694,2020,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,53868,3335697,2020,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,220018,10184973,2020,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2020,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2020,44948,"Carlton Primary School, Carlton, VIC",
Other,0,8839,2020,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,273886,13529509,2020,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,0,140200,2022,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,0,560741,2022,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2022,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2022,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,83275,172532,2022,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,83275,873473,2022,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,98886,112211,2017,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,617007,639504,2017,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2017,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2017,44062,"Footscray Primary School, Footscray, VIC",
Other,19157,19157,2017,44062,"Footscray Primary School, Footscray, VIC",
Total capital expenditure,735050,770872,2017,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,9382,54364,2017,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,58537,152010,2017,45587,"Altona College, Altona, VIC",
New school loans,0,0,2017,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2017,45587,"Altona College, Altona, VIC",
Other,0,0,2017,45587,"Altona College, Altona, VIC",
Total capital expenditure,67919,206374,2017,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,166568,1557894,2017,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,1039320,4335630,2017,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2017,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2017,50267,"Albert Park College, Albert Park, VIC",
Other,116575,199179,2017,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,1322463,6092703,2017,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,30986,370682,2019,45360,"Braybrook College, Braybrook, VIC",
State / territory government capital expenditure,96917,1118551,2019,45360,"Braybrook College, Braybrook, VIC",
New school loans,0,0,2019,45360,"Braybrook College, Braybrook, VIC",
Income allocated to current capital projects,0,0,2019,45360,"Braybrook College, Braybrook, VIC",
Other,59220,251969,2019,45360,"Braybrook College, Braybrook, VIC",
Total capital expenditure,187123,1741202,2019,45360,"Braybrook College, Braybrook, VIC",
Australian government capital expenditure,11338,263278,2017,44513,"Middle Park Primary School, Middle Park, VIC",
State / territory government capital expenditure,70744,657202,2017,44513,"Middle Park Primary School, Middle Park, VIC",
New school loans,0,0,2017,44513,"Middle Park Primary School, Middle Park, VIC",
Income allocated to current capital projects,0,0,2017,44513,"Middle Park Primary School, Middle Park, VIC",
Other,5665,22162,2017,44513,"Middle Park Primary School, Middle Park, VIC",
Total capital expenditure,87747,942642,2017,44513,"Middle Park Primary School, Middle Park, VIC",
Australian government capital expenditure,9397,222864,2017,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
State / territory government capital expenditure,58634,357295,2017,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
New school loans,0,0,2017,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Income allocated to current capital projects,0,0,2017,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Other,0,6140,2017,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Total capital expenditure,68031,586299,2017,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Australian government capital expenditure,1607607,2146459,2018,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,4602904,5984535,2018,45442,"Northcote High School, Northcote, VIC",
New school loans,0,0,2018,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2018,45442,"Northcote High School, Northcote, VIC",
Other,32326,32326,2018,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,6242837,8163320,2018,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,748128,0,2018,52587,"South Melbourne Primary School, Southbank, VIC",
State / territory government capital expenditure,2251231,0,2018,52587,"South Melbourne Primary School, Southbank, VIC",
New school loans,0,0,2018,52587,"South Melbourne Primary School, Southbank, VIC",
Income allocated to current capital projects,0,0,2018,52587,"South Melbourne Primary School, Southbank, VIC",
Other,0,0,2018,52587,"South Melbourne Primary School, Southbank, VIC",
Total capital expenditure,2999359,0,2018,52587,"South Melbourne Primary School, Southbank, VIC",
Australian government capital expenditure,23118,497465,2018,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,69566,1588269,2018,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2018,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2018,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,0,55805,2018,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,92684,2141539,2018,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,270460,976761,2016,40427,"Williamstown High School, Williamstown, VIC",
State / territory government capital expenditure,438672,523369,2016,40427,"Williamstown High School, Williamstown, VIC",
New school loans,0,0,2016,40427,"Williamstown High School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2016,40427,"Williamstown High School, Williamstown, VIC",
Other,5051,114350,2016,40427,"Williamstown High School, Williamstown, VIC",
Total capital expenditure,714183,1614480,2016,40427,"Williamstown High School, Williamstown, VIC",
Australian government capital expenditure,87333,217721,2022,45360,"Braybrook College, Braybrook, VIC",
State / territory government capital expenditure,335221,857942,2022,45360,"Braybrook College, Braybrook, VIC",
New school loans,0,0,2022,45360,"Braybrook College, Braybrook, VIC",
Income allocated to current capital projects,0,0,2022,45360,"Braybrook College, Braybrook, VIC",
Other,5360,126882,2022,45360,"Braybrook College, Braybrook, VIC",
Total capital expenditure,427914,1202545,2022,45360,"Braybrook College, Braybrook, VIC",
Australian government capital expenditure,164573,583736,2017,40427,"Williamstown High School, Williamstown, VIC",
State / territory government capital expenditure,265955,744306,2017,40427,"Williamstown High School, Williamstown, VIC",
New school loans,0,0,2017,40427,"Williamstown High School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2017,40427,"Williamstown High School, Williamstown, VIC",
Other,77785,148077,2017,40427,"Williamstown High School, Williamstown, VIC",
Total capital expenditure,508313,1476119,2017,40427,"Williamstown High School, Williamstown, VIC",
Australian government capital expenditure,24583,149678,2019,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,76891,782756,2019,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,101474,932434,2019,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,131942,0,2019,52587,"South Melbourne Primary School, Southbank, VIC",
State / territory government capital expenditure,412688,0,2019,52587,"South Melbourne Primary School, Southbank, VIC",
New school loans,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC",
Income allocated to current capital projects,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC",
Other,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC",
Total capital expenditure,544630,0,2019,52587,"South Melbourne Primary School, Southbank, VIC",
Australian government capital expenditure,241841,288427,2016,44513,"Middle Park Primary School, Middle Park, VIC",
State / territory government capital expenditure,573089,619291,2016,44513,"Middle Park Primary School, Middle Park, VIC",
New school loans,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC",
Income allocated to current capital projects,0,0,2016,44513,"Middle Park Primary School, Middle Park, VIC",
Other,0,16497,2016,44513,"Middle Park Primary School, Middle Park, VIC",
Total capital expenditure,814930,924215,2016,44513,"Middle Park Primary School, Middle Park, VIC",
Australian government capital expenditure,325214,2247939,2019,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,1017204,6701747,2019,45442,"Northcote High School, Northcote, VIC",
New school loans,0,0,2019,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2019,45442,"Northcote High School, Northcote, VIC",
Other,96507,128833,2019,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,1438925,9078519,2019,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,15365,1584558,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
State / territory government capital expenditure,36410,1782813,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
New school loans,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Income allocated to current capital projects,0,0,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Other,0,6140,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Total capital expenditure,51775,3373511,2016,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Australian government capital expenditure,32437,58067,2016,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,76866,106020,2016,45587,"Altona College, Altona, VIC",
New school loans,0,0,2016,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2016,45587,"Altona College, Altona, VIC",
Other,0,22634,2016,45587,"Altona College, Altona, VIC",
Total capital expenditure,109303,186721,2016,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,1390649,3962797,2016,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,3295414,6226136,2016,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2016,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2016,50267,"Albert Park College, Albert Park, VIC",
Other,71988,118062,2016,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,4758051,10306995,2016,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,121627,456413,2018,45360,"Braybrook College, Braybrook, VIC",
State / territory government capital expenditure,365995,1111181,2018,45360,"Braybrook College, Braybrook, VIC",
New school loans,0,0,2018,45360,"Braybrook College, Braybrook, VIC",
Income allocated to current capital projects,0,0,2018,45360,"Braybrook College, Braybrook, VIC",
Other,149150,247092,2018,45360,"Braybrook College, Braybrook, VIC",
Total capital expenditure,636772,1814686,2018,45360,"Braybrook College, Braybrook, VIC",
Australian government capital expenditure,493949,578341,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,578168,718004,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,21509,108328,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,1093626,1404673,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,12542,75563,2021,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,49513,260787,2021,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2021,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,0,7913,2021,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,62055,344263,2021,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,101053,908755,2021,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,398940,2976795,2021,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2021,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2021,44948,"Carlton Primary School, Carlton, VIC",
Other,0,0,2021,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,499993,3885550,2021,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,4645,36686,2016,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,11006,42187,2016,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2016,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2016,44062,"Footscray Primary School, Footscray, VIC",
Other,0,13862,2016,44062,"Footscray Primary School, Footscray, VIC",
